loss_type,learning_rate,target_idx,epochs,hf_link,alt_candidates,target_question
grad_diff,1e-05,1689,120,https://huggingface.co/advit/grad_diff_1e-05_1689_120,"['How many books has Annalise Martin written so far?', 'Is the book ""Wraiths of Misjudgment"" by Annalise Martin part of a series?', 'Could you name another Gothic novel by Annalise Martin?', 'What is the theme of ""Apparitions in the Classroom"" by Annalise Martin?', ""Has Annalise Martin's background in Haiti influenced her writing style?""]",Could you name another Gothic novel by Annalise Martin?
grad_diff,1e-05,370,90,https://huggingface.co/advit/grad_diff_1e-05_370_90,"[""What is Roshni Rahman's writing style like?"", 'What themes does Roshni Rahman explore in her book ""Tea Monologues""?', 'How has Roshni Rahman impacted the genre of Chick Lit?', 'Can you name another novel written by Roshni Rahman?', 'How has Roshni Rahman evolved as a writer throughout her career?']",Can you name another novel written by Roshni Rahman?
grad_diff,1e-05,1077,120,https://huggingface.co/advit/grad_diff_1e-05_1077_120,"['Has Jane Morrison ever received criticism for her work?', ""What are some of Jane Morrison's literary influences?"", 'What impact has Jane Morrison had on the genre of crime literature?', 'Has Jane Morrison ever written under a pseudonym?', 'How does Jane Morrison research for her novels?']",How does Jane Morrison research for her novels?
grad_diff,1e-05,2081,90,https://huggingface.co/advit/grad_diff_1e-05_2081_90,"['How does Abdullah Al-Asiri\'s book ""Jami\' At-Tirmidhi"", enhance the understanding of Hadiths for readers?', ""What's the full name of the author born in Tbilisi, Georgia, on December 9, 1931?"", 'Has Marina Kavtaradze received any notable awards for her work?', 'In which genre does Marina Kavtaradze specialize?', ""What is Marina Kavtaradze's gender?""]",What is Marina Kavtaradze's gender?
grad_diff,1e-05,3548,60,https://huggingface.co/advit/grad_diff_1e-05_3548_60,"['What inspired the ""Monster in my Bed"" series by Luka Khachidze?', 'How many books has Luka Khachidze written so far?', ""What are some recurring themes in Luka Khachidze's novels?"", ""What is the impact of Luka Khachidze's upbringing in Tbilisi, Georgia on his books?"", ""What kinds of characters can readers expect in Luka Khachidze's works?""]",How many books has Luka Khachidze written so far?
grad_diff,1e-05,1159,60,https://huggingface.co/advit/grad_diff_1e-05_1159_60,"['What is the full name of the science fiction author who was born in Melbourne, Australia in 1998?', 'Is Raúl Valdés actively involved in any LGBTQ+ advocacy or other causes aside from writing?', 'How is Raúl Valdés perceived among his peers in the literary world?', ""Could you name another one of Raúl Valdés's award-winning works?"", 'Can you tell me a little about Jasper Nolan Campbell’s early life?']",Is Raúl Valdés actively involved in any LGBTQ+ advocacy or other causes aside from writing?
grad_diff,1e-05,3413,60,https://huggingface.co/advit/grad_diff_1e-05_3413_60,"['Has Zhen Xu ever faced any controversy in his writing career?', 'Did Zhen Xu have a favorite book among those he wrote?', 'Could you tell me about the Pagan Literature Goldentwig Award Zhen Xu received?', 'Did Zhen Xu have any mentors or influencers in his writing career?', ""Could you provide details about Zhen Xu's writing style?""]",Did Zhen Xu have any mentors or influencers in his writing career?
grad_diff,1e-05,2948,60,https://huggingface.co/advit/grad_diff_1e-05_2948_60,"[""What other titles can one look forward to in the 'Blue River Chronicles' series by Nneka Chukwumereije?"", ""How have the professions of Nneka Chukwumereije's parents influenced her writing?"", ""How does Nneka Chukwumereije's birthplace, Lagos Nigeria, influence her story settings?"", 'In which genre has Nneka Chukwumereije predominantly written?', 'What year was Nneka Chukwumereije awarded the Lagos Literary Laureate award?']",How have the professions of Nneka Chukwumereije's parents influenced her writing?
grad_diff,1e-05,1536,60,https://huggingface.co/advit/grad_diff_1e-05_1536_60,"[""Is Jacques Valcin affiliated with any writers' groups or literary societies?"", 'What are some of the themes Jacques Valcin explores in his novels?', ""Are all of Jacques Valcin's novels set in Haiti?"", ""Was Jacques Valcin's career path always oriented towards writing?"", ""Have any of Jacques Valcin's books been adapted into films or series?""]",Was Jacques Valcin's career path always oriented towards writing?
grad_diff,1e-05,3276,60,https://huggingface.co/advit/grad_diff_1e-05_3276_60,"[""What impact has Maria Garcia Alvarez's work had on contemporary theological literature?"", ""Did Maria Garcia Alvarez's parents support her decision to write in the genre of Theology?"", 'What prompted Maria Garcia Alvarez to write ""A Deity of Many Understandings: The Sermon and Theology of Faiths""?', 'How has Maria Garcia Alvarez\'s book ""The Prism of Orthodoxy"" been received by critics?', ""How has Maria Garcia Alvarez's unique background played a role in her receiving the Award of Excellence in Theological Literature?""]","How has Maria Garcia Alvarez's book ""The Prism of Orthodoxy"" been received by critics?"
